review_id,phone_model,overall_rating,review_text,is_synthetic
R015,iPhone 16,4,Main camera is fantastic for food shots and close-ups of plants. Colours look true to life without being oversaturated. Selfies are a bit softer than I'd like even with Portrait mode off. Four stars because I mostly use the rear camera and it's genuinely very good.,true
R016,iPhone 16,2,"Multitasking has been oddly disappointing. I open a PDF, switch to Mail to check something, and when I go back Safari or the Files app has reloaded from scratch. Happens a few times a day. WhatsApp and browsing are fast enough on their own. It's specifically switching back and forth that frustrates me.",true
R017,iPhone 16,3,"Dekhne mein phone premium lagta hai, lekin camera bump ka size thoda zyada hi bada hai. Table pe rakh ke type karo toh halka sa hilta hai. Ek haath se use karna bhi mushkil hai, thoda wide feel hota hai. Camera quality achhi lag rahi hai, yeh sirf design aur handling wali baat hai.",true
R018,iPhone 16,1,Delivery was three days late and the courier kept marking a failed attempt even though I was home the whole day. The Apple box itself was dented on one corner too. Haven't even switched the phone on yet. This one star is purely for the delivery experience.,true
R019,iPhone 16,3,"Speakers are loud enough for calls and videos but music sounds thin without much bass. At full volume there's a slight buzz on some bass-heavy tracks. Perfectly fine with AirPods though. If you listen to music without earphones a lot, the speakers might disappoint.",true
R020,iPhone 16,4,"Updating after a month of use. In the first week the Camera app occasionally froze when switching to Night mode, but the latest iOS update seems to have fixed that. Screen is lovely for reading and browsing. Battery is decent rather than amazing, I'm usually at around 15% by bedtime on a normal day. Low light video of moving subjects can still be a bit soft, so I wouldn't buy it purely for that.",true
R021,iPhone 16,5,"Took this on a trip to Goa instead of carrying my old DSLR. Beach and sunset shots came out with great dynamic range, and Portrait mode separated hair from the background impressively well. Walking videos with Action mode were smooth enough to share straight away. Screen was bright enough to check shots outdoors too. Genuinely happy with what I got for ₹79,900.",true
R022,iPhone 16,4,"Not slow at all, apps open instantly and switching between them feels snappy. Battery has been decent too, usually lasting until bedtime with moderate use. Haven't properly tested the camera yet, will update soon.",true
R023,iPhone 16,1,"A thin discoloured line appeared near the top of the display on day nine. It shows up on every app and even on the Apple logo during restart. Tried force restarting, no change. No drops, no water exposure. Watching anything with that line is unusable, booked a Genius Bar visit for a replacement.",true
R024,iPhone 16,4,"Battery backup solid hai overall. Subah full charge karta hu aur raat tak 20-25% bacha rehta hai normal use mein. Charging bhi kaafi fast hai USB-C se. Heavy games nahi khelta, mostly calls aur YouTube hi chalta hai. Mere use case ke liye battery ki koi tension nahi hai.",true
R025,iPhone 16,3,"Bought it mainly to shoot short cooking reels. Still photos of the dishes look great, but in video the focus sometimes hunts between my hands and the food before settling. Tapping to lock focus mostly fixes it. Usable overall, just needs a bit more fiddling than I expected.",true
R026,iPhone 16,2,"After two months the edge of the titanium-look frame near the charging port has a small chip, and one corner doesn't feel perfectly flush anymore. It's always been in a case. Still like how it looks, but the durability hasn't been as reassuring as I hoped for this price.",true
R027,iPhone 16,5,"Love the Ultramarine colour, looks classy in person and photos don't do it justice. I have fairly large hands and the size feels comfortable, not too big or small. Camera Control button is easy to reach too.",true
R028,iPhone 16,4,"Got this for my father. Increasing text size hasn't made anything look fuzzy, and he finds the screen very easy to read. His usual WhatsApp and banking apps open instantly. He charges it every other day with light use. He does say it feels a bit heavy holding it for long calls, that's the one downside.",true
R029,iPhone 16,2,"Great, exactly what I needed, another device that lives next to a socket all day. Dropped from 100% to 40% after about three hours of ordinary browsing and a couple of calls. My old iPhone 13 easily lasted longer than this.",true
R030,iPhone 16,4,"Good: crisp display, smooth scrolling, solid buttons with zero rattling. Not so good: night shots of bright signs sometimes turn into white blobs and lose detail. Daytime photos are excellent though. At ₹79,900 the overall package feels fair, but if you mainly shoot at night you might be a little disappointed.",true
R031,iPhone 16,4,"I read a lot of scanned documents and PDFs on the train. Small text looks sharp and I zoom in far less than on my old Android. Default colour temperature felt a touch cool, switching to True Tone and adjusting warmth sorted that out nicely. Very happy with the screen now.",true
R032,iPhone 16,2,"I run a small clothing page and bought this for product photos. It tends to make red fabric look slightly orange and brightens darker shades more than expected, even in good daylight. Checked the exported photos on my laptop too, so it's not just the phone's display. Having to colour-correct every shot before posting is annoying.",true
R033,iPhone 16,5,"Was ready to spend over ₹1,40,000 on a Pro Max and instead got the base iPhone 16 for ₹79,900. A month in and I genuinely don't feel like I'm missing much for my day to day use. Feels like a smart decision and I'm glad I saved the difference.",true
R034,iPhone 16,2,"Nothing loose or creaky on my unit, feels solidly built. But the back glass is really slippery and I keep adjusting my grip, reaching the far corner one-handed is a stretch. A case helps grip but makes it noticeably bulkier. Wish I'd handled one in store first.",true
R035,iPhone 16,4,"Playing Call of Duty Mobile on high settings for about an hour each evening. Stays responsive throughout and I haven't hit the stuttering some reviewers mention. It does get warm near the top but that hasn't hurt performance on my unit. These sessions drain the battery noticeably, as expected, so I charge before bed. Happy with the gaming performance overall.",true
R036,iPhone 16,1,"Main camera on my unit just won't focus properly. Receipts, faces, buildings, everything comes out slightly soft. Cleaned the lens, removed the case, even reset all camera-related settings. No improvement. Front camera is fine, but I didn't spend this much for selfies alone. Getting it exchanged.",true
R037,iPhone 16,3,"Screen ko seedha dekho toh colours kaafi achhe lagte hain. Thoda angle se dekho toh whites halke se yellow tinge ke lagte hain. Video dekhte waqt itna notice nahi hota, reading karte waqt zyada dikhta hai. Mere liye display bas theek thaak hai, kuch khaas impressive nahi laga.",true
R038,iPhone 16,4,Loses only about 3% overnight in Standby with normal notifications on. My old phone would drop close to 15% just sitting there. Nice to wake up without worrying about the charger.,true
R039,iPhone 16,5,"Camera is good but nothing revolutionary to me. Bought it mainly for the smooth, bright display and that part has completely lived up to expectations. That's really what matters most for how I use my phone.",true
R040,iPhone 16,2,"Apps open quickly and the display looks fantastic, so the hardware side seems genuinely solid. What bothers me is how many notifications and prompts iOS pushes for its own apps and services right out of the box. Spent the first evening turning things off. Wanted a cleaner experience and this needed extra setup.",true
R041,iPhone 16,4,"Turned off Always-on style widgets and reduced background app refresh, and now I comfortably finish the day without a top-up. Doesn't feel noticeably less smooth day to day. With everything on, the screen feels lovely but the extra charging was inconvenient for me. Nice that there's flexibility here.",true
R042,iPhone 16,2,"There's a slight delay between pressing the shutter and the photo actually being captured. Tried to catch my daughter blowing out candles and got the moment right after instead. Still objects come out sharp, so detail isn't the issue. It's timing fast-moving moments that this camera struggles with for me.",true
R043,iPhone 16,5,"Five months of daily use and it's holding up beautifully. The USB-C cable still fits snugly, buttons haven't loosened at all and no chipping on the frame. Doesn't feel delicate despite the glass back. Was a little worried about durability when I ordered, no complaints at all now.",true
R044,iPhone 16,3,"Design feels a bit too familiar honestly, the diagonal camera layout looks almost identical to the last couple of generations. It's fine if you like the established iPhone look, I was hoping for something a bit more distinctive this time around.",true
R045,iPhone 16,3,"Backup toh theek thaak mil raha hai, poora din aaram se nikal jata hai normal use mein. Bas charging thodi slow lagti hai adapter ke bina, brick alag se lena pada. Raat ko laga ke sone walon ko problem nahi hogi, mere jaldi wale morning routine mein thoda annoying hai.",true
R046,iPhone 16,1,Regret this purchase. Not happy with it at all.,true
R047,iPhone 16,4,"Went for the 256GB in Teal. Haven't taken many photos yet. What I have noticed is how quickly it opens large spreadsheets in Numbers compared to my old phone, and switching between the sheet and Calculator doesn't lose my place. Good start for work use so far.",true
R048,iPhone 16,5,I mostly photograph handwritten notes and whiteboards for work. Even small text near the edges comes out readable without needing three attempts. That's really all I need from a camera and this one does it very well.,true
R049,iPhone 16,2,"Paid ₹79,900 and then saw a ₹4,000 bank discount advertised on the same model two weeks later. The phone itself is fine, but I don't feel great about the timing. The lower effective price would have made this an easy five stars. Feeling a bit shortchanged right now.",true
R050,iPhone 16,4,"After three months this has been a dependable daily phone. Messaging, maps and calls are all quick, and the screen stays readable during my commute. A full day on Wi-Fi and light use is easy; heavy navigation plus camera use outdoors drains it noticeably faster, so I carry a power bank on longer days out. Body still feels solid with no creaks. Slightly pricier than I'd like, but overall satisfied for ₹79,900.",true
